term,estimate,std_error,p_value,ratio,lo95,hi95,effect,model
(Intercept),10.4594195997284,0.0548104365024773,0,34871.3062567138,31319.3421014587,38826.1029273948,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band65-74,0.269142956362741,0.0578044033537147,3.22258868792737e-06,1.30884223499833,1.16864659844651,1.46585631481119,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band75-84,0.684356975114208,0.0562924207784647,5.25426053338877e-34,1.98249663091727,1.77539659254256,2.21375489178433,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band85-89,1.1386116609106,0.0570913535074993,1.70081663087783e-88,3.12243036244744,2.79187275229488,3.49212597899372,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band90+,1.56299303013383,0.059013187297119,1.4244324016358e-154,4.77308587711391,4.25173520453562,5.35836492498422,Cost ratio,"Part 2 (Gamma-log, clustered)"
sexMALE,-0.0451406562004779,0.0171710948102351,0.00856679272020666,0.955863024316002,0.924228445943571,0.988580394019077,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx1,0.0491395517510257,0.0106435427676611,3.89624303573418e-06,1.05036692105577,1.02868183205474,1.07250914176685,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx2,0.0632044465928268,0.0135252575148086,2.96733626690555e-06,1.06524460259959,1.03737651241846,1.0938613413582,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx3,0.111527742878005,0.0166527125918897,2.12346414731791e-11,1.1179847596901,1.08208358315523,1.15507705907042,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx4,0.119914745270216,0.0195206510956753,8.09933373019838e-10,1.12740073123738,1.08508059910484,1.17137142608866,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx5,0.115595215767209,0.0240168739885033,1.48619283670185e-06,1.12254139309991,1.07092433789805,1.17664631816653,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx6,0.0980611119783548,0.0314636611940472,0.00182920720570079,1.103030191406,1.03706264373392,1.17319393433414,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx7,0.16497645745961,0.0440922607334019,0.000182838284624861,1.17936535312809,1.08172352589821,1.2858208246918,Cost ratio,"Part 2 (Gamma-log, clustered)"
state_ucVery mild,0.562220072690155,0.0298832253413096,5.80997012047676e-79,1.75456343798755,1.65474836346016,1.86039939721434,Cost ratio,"Part 2 (Gamma-log, clustered)"
state_ucMild,0.830920924728385,0.0218172845962255,1.1125369303694e-308,2.29543168698527,2.1993438083024,2.39571758163769,Cost ratio,"Part 2 (Gamma-log, clustered)"
state_ucModerate,1.0939619332094,0.0218216642125905,0,2.98608132210727,2.86105795667869,3.1165679959133,Cost ratio,"Part 2 (Gamma-log, clustered)"
state_ucSevere,1.56687875828558,0.0566738779408868,3.00878478589148e-168,4.79166887212889,4.28790366581473,5.35461903288035,Cost ratio,"Part 2 (Gamma-log, clustered)"
diedDied,2.66007375659794,0.136482184036861,1.32795024636448e-84,14.2973435832118,10.9415632067489,18.682342703127,Cost ratio,"Part 2 (Gamma-log, clustered)"
inst_flagYes,3.18513770627946,0.0578846976274181,0,24.170616622369,21.5782033045705,27.0744834340214,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band65-74:diedDied,0.0691545090681882,0.141437113357859,0.624882940027842,1.07160176854853,0.812156492112258,1.4139274407199,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band75-84:diedDied,-0.354461113400922,0.136505941445174,0.00941318494360064,0.701551398008989,0.536862774212407,0.916760087846285,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band85-89:diedDied,-0.844624989010078,0.137080546851129,7.20484483571435e-10,0.429718477149668,0.328472269272529,0.562172173659573,Cost ratio,"Part 2 (Gamma-log, clustered)"
age_band90+:diedDied,-1.23999739249887,0.138004265834856,2.58239252645073e-19,0.289384972509711,0.22080269621498,0.379269201644671,Cost ratio,"Part 2 (Gamma-log, clustered)"
sexMALE:diedDied,-0.0101184199047517,0.0255974905678986,0.692629228629447,0.989932599083752,0.94149193087785,1.04086558640496,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx1:diedDied,-0.0123512015460273,0.0324413100231524,0.703407687066165,0.987724761477285,0.926875367875402,1.05256891945639,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx2:diedDied,-0.00823075329816861,0.0340716093276529,0.809111672724691,0.991803026610196,0.927733181400449,1.06029757619346,Cost ratio,"Part 2 (Gamma-log, clustered)"
ysdx3:diedDied,-0.0739860827749334,0.0386738838471406,0.0557383112627165,0.928684618464201,0.860891417044461,1.00181637718367,Cost ratio,"Part 2 (Gamma-log, clustered)"
